0x0166F288 0x016F22E8
0x0053E380 0x00541100
0x0062F560 0x00638430
0x00556F20 0x0055CCB0
0x00693110 0x0069C710
0x005DB310 0x005E3990
0x005D2520 0x005DAAE0
0x005E7E40 0x005F0560
0x005D62E0 0x005DE910
0x005F9E30 0x006025A0
0x005D1190 0x005D9770
0x005FC9A0 0x00605190
0x005DD770 0x005E5DC0
0x00607680 0x00610000
0x00631360 0x0063A230
0x006313D0 0x0063A2A0
0x01655640 0x016CE888
0x00637A80 0x00640A90
0x02EC4838 0x02F896D8
0x00638190 0x006411A0
0x003E5250 0x003F4DA0
0x0065C880 0x00665BD0
0x00650DF0 0x0065A140
0x0166F218 0x016F2258
0x0166F2C8 0x016F2338
0x000F7210 0x0001077C
0x02F27150 0x02FEBC50
0x002C53D0 0x002D6B40
0x00586DE0 0x0058E310
0x02F26740 0x02FEB248
0x00587350 0x0058E920
0x004D80A0 0x004E8240
0x004D7F80 0x004E8120
0x001C60A0 0x001D6200
0x001C61A0 0x001D6530
0x00BEE580 0x00C29430
0x00BEF0B0 0x00C29F60
0x00C28BF0 0x00C6DB20
0x00C28C80 0x00C6DBB0
0x00C28D60 0x00C6DC90
0x00C28E20 0x00C6DD50
0x00C28D40 0x00C6DC70
0x00C29510 0x00C6E440
0x00C29620 0x00C6E550
0x02F257A8 0x02FEA520
0x012CFBC0 0x0130EAD0
0x00C072D0 0x00C42150
0x00C07350 0x00C421D0
0x00C07590 0x00C42410
0x00C075A0 0x00C42420
0x00C76060 0x00CBC490
0x00C76340 0x00CBC770
0x00C76490 0x00CBC8C0
0x00C76580 0x00CBC9B0
0x00ECE790 0x00F2B480
0x02F257A0 0x02FEA518
0x017B6B50 0x01866FA0
0x01233670 0x0126BB20
0x01234360 0x0126C810
0x01234410 0x0126C8C0
0x012386D0 0x01270B80
0x0122DAD0 0x01265F80
0x012507F0 0x0129DD90
0x012444C0 0x0129A210
0x00BED690 0x00C28540
0x00BED530 0x00C283E0
0x00BEDB10 0x00C289C0
0x00BED920 0x00C287D0
0x00BED600 0x00C284B0
0x000F9E90 0x00010A44
0x00C2A4D0 0x00C6F400
0x0133F0C0 0x0137C200
0x01EC0A80 0x01F85108
0x00862160 0x0088D4E0
0x0085BB30 0x008864D0
0x02F000F0 0x02FC4FE0
0x0085C2C0 0x00886DF0
0x00C064F0 0x00C41370
0x00C06570 0x00C413F0
0x00C06490 0x00C41310
0x0056C9D0 0x00572FD0
0x0152C9A0 0x015A3CF0
0x0152C2E0 0x015A3630
0x0152C040 0x015A3390
0x0152C740 0x015A3A90
0x0152C0C0 0x015A3410
0x0152F260 0x015A65D0
0x0152BFE0 0x015A3330
